avg_secchi,roaddensity_density_mperha,MIROC5.avg.ann.gdd
1.534992195,126.0616,2638.146859612923
1.438565401,58.2076,2688.744104498494
2.677137166,83.788,2509.8915715797243
2.898924675,25.6257,2634.1772744090667
1.457567917,110.723,2668.44200409973
1.476571503,89.2722,2596.191660518346
1.780411765,67.7221,2564.4719460927427
2.168862253,69.6609,2539.9811873611525
0.79807218,4.9428,2728.557068070135
2.878928462,40.9,2436.310967603209
1.067381643,18.1459,2554.7485204179047
1.208,2.9742,2511.594886050332
1.6764,31.4563,2522.035181383195
2.742178218,31.4563,2522.035181383195
1.603873874,47.9126,2610.2276374767766
2.200882353,64.3282,2552.7555491618095
1.989560976,68.87,2601.6709559638084
1.275933409,45.0392,2535.332276107663
1.690663725,35.0387,2533.4601026441987
2.575627976,29.2657,2515.255299199998
2.66085913,22.3999,2553.255931181786
2.542670505,77.877,2545.476029870721
1.625412903,77.0026,2616.3934285487576
1.483132222,38.0517,2676.956832376672
0.656095041,24.8976,2579.5790125026642
1.13098961,25.3988,2715.9325079831315
0.502546584,83.5571,2740.251724907773
0.952101064,134.1676,2701.1686828966863
3.132666667,42.0876,2175.4447088822217
3.907021424,42.9057,2169.5924616723423
3.323991379,15.8709,2083.0285799770386
4.401081928,58.7442,2088.2484777444206
2.322061538,16.4794,1954.3267627766636
2.810240606,31.4444,2092.9023876259484
2.835809855,42.549,2239.324904393377
2.8967875,40.768,2239.324904393377
2.534444444,24.583,2239.324904393377
1.585073289,53.7987,2239.324904393377
4.217837073,42.4185,2065.3807758072735
5.683223621,60.5099,1981.6065666310635
4.547634286,36.0916,1970.2553206241032
3.913847574,45.0482,2020.6107908679155
1.29032,69.7822,2442.042543436348
1.617435219,65.8926,2400.9116343082333
2.58152,94.29,2442.042543436348
2.727339592,85.0612,2437.587255644288
1.34112,59.167,2517.6976459497946
1.676807066,47.079,2443.299684404375
1.674672131,51.8488,2440.3009669791245
3.227443721,54.7363,2311.092529424704
1.71704,29.7304,2435.2400126175635
3.137236364,5.3236,2105.9136952601852
3.076571969,101.1057,2004.3006997818436
3.0108,10.6668,1507.7035061783165
4.753024533,19.954,1562.5426028882405
2.70824,9.6534,1609.9223696892243
5.438945455,0.156,1507.0910351809368
4.588785172,14.9628,1522.0427118185678
4.181933333,0.1571,1578.9933949652452
3.01294363,44.0453,1701.3780863162358
5.617156522,22.0089,1674.4141880471043
4.773283761,18.2754,1564.8897511952496
4.390224726,58.6131,2091.708335968385
3.76381106,32.691,2165.5133265109293
4.9276,44.3127,2172.6278803844
4.322330435,32.323,2172.6278803844
3.815045685,42.1416,2172.6278803844
4.58411866,119.9252,2198.5257041303403
2.19342385,44.2378,2253.056444177319
3.118538182,33.311,2258.019419318814
3.60024,15.3924,2253.301257401761
2.282021333,86.2031,2296.6434964633163
1.724035714,25.7684,2249.701338237649
1.592363842,49.2235,2259.403071919949
5.241206504,42.2696,2132.1750613672752
3.342362483,31.4841,2231.0285300132196
2.883679918,24.1841,2246.204211384535
3.243943662,29.0417,1983.444400376526
2.830850413,30.2771,2140.890868455051
4.353151648,54.4162,2140.890868455051
2.651096154,54.5322,2140.890868455051
4.303095502,61.3463,2150.1635648072156
5.198569281,62.903,2120.368801433352
3.298685712,30.7926,2140.890868455051
4.303714286,45.3602,2140.890868455051
4.013248,63.5738,2140.890868455051
4.341953271,47.6807,2140.890868455051
4.2164,87.4742,2192.629972250978
5.44638033,40.3373,2203.615134966264
3.917602469,32.2135,2140.890868455051
3.668894382,37.9752,2140.890868455051
4.320764835,40.1336,2140.890868455051
4.896706667,42.9196,2182.8879677784453
2.241877778,11.459,2140.890868455051
4.354277229,57.0502,2081.4691812057554
3.27244882,83.3935,2234.6315366304834
2.896766026,52.2278,2248.4018284807084
4.541807746,59.5022,2295.262994940761
3.858911184,36.4583,2193.4210062749135
4.492374026,38.4153,2140.890868455051
3.421818993,97.1958,2205.822720350188
2.942133333,39.6857,2255.9361018669065
2.8652,45.3259,2239.324904393377
2.3918,80.9011,2239.324904393377
3.905236379,63.0523,2193.4210062749135
2.312960677,41.0234,2275.3124627633765
6.97992,28.5816,2242.30597537421
9.0678,28.5816,2133.080833064452
10.88,28.5816,2160.0268689449017
