avg_secchi,roaddensity_density_mperha,IPSL.avg.ann.gdd
2.200882353,64.3282,2427.9002316758083
1.989560976,68.87,2473.268360268909
1.275933409,45.0392,2410.278182394946
1.690663725,35.0387,2410.541431348852
2.575627976,29.2657,2391.658496190413
2.66085913,22.3999,2427.8848810662416
2.542670505,77.877,2417.9087630232075
1.625412903,77.0026,2486.6886743146765
1.483132222,38.0517,2542.6012234207797
0.656095041,24.8976,2455.0949620144656
1.13098961,25.3988,2582.9224290731213
0.502546584,83.5571,2585.2433609660693
0.952101064,134.1676,2560.8370617214373
3.132666667,42.0876,2093.472678066783
3.907021424,42.9057,2080.488662543562
3.323991379,15.8709,1997.6932702974864
4.401081928,58.7442,1999.248259367028
2.322061538,16.4794,1867.2744082990823
2.810240606,31.4444,2005.8582697566264
2.835809855,42.549,2142.343300204496
2.8967875,40.768,2142.343300204496
2.534444444,24.583,2142.343300204496
1.585073289,53.7987,2142.343300204496
4.217837073,42.4185,1977.4143262404805
5.683223621,60.5099,1901.492800125287
4.547634286,36.0916,1888.456391918339
3.913847574,45.0482,1935.5229081930404
1.29032,69.7822,2317.1313898524327
1.617435219,65.8926,2280.180486549418
2.58152,94.29,2317.1313898524327
2.727339592,85.0612,2312.138017540643
1.34112,59.167,2392.384174492227
1.676807066,47.079,2317.675856513544
1.674672131,51.8488,2315.478736974988
3.227443721,54.7363,2195.456183170595
1.71704,29.7304,2314.214465024326
3.137236364,5.3236,2004.588500913309
3.076571969,101.1057,1922.375672402512
3.0108,10.6668,1473.998435100595
4.753024533,19.954,1523.3414209944642
2.70824,9.6534,1565.605663460028
5.438945455,0.156,1473.862782928005
4.588785172,14.9628,1484.22962839849
4.181933333,0.1571,1537.5088018954684
3.01294363,44.0453,1656.4181583625684
5.617156522,22.0089,1626.8479589879053
4.773283761,18.2754,1524.8636423556577
4.390224726,58.6131,2003.102182146868
3.76381106,32.691,2075.6335070548657
4.9276,44.3127,2082.768549166994
4.322330435,32.323,2082.768549166994
3.815045685,42.1416,2082.768549166994
4.58411866,119.9252,2109.024805337392
2.19342385,44.2378,2158.4036575675805
3.118538182,33.311,2161.931002309199
3.60024,15.3924,2157.2084307388027
2.282021333,86.2031,2197.18756055459
1.724035714,25.7684,2147.769276229578
1.592363842,49.2235,2157.7189317356665
5.241206504,42.2696,2040.3619342329323
3.342362483,31.4841,2137.4579838590143
