DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
4006900,Lake or Pond,378765.6053,5287832.935,Beltrami,Y,0,2.660000296,7.32,54.815,1940.5105044489842,2045.0545969206437,1963.6514962114095,1801.690870340122,1797.23889979876
4007900,Lake or Pond,372571.4264,5253089.475,Beltrami,Y,0,3.015633793,6.4,34.9738,1990.3127806316804,2093.345055333642,2007.8825077887711,1856.134994617097,1843.4034184318764
4013500,Lake or Pond,363943.0974,5273006.728,Beltrami,Y,0,3.757906006,6.25,53.0268,1921.949846515036,2027.351189576191,1948.0151220325558,1784.748105937538,1774.7239354507562
4014100,Lake or Pond,357379.936,5255916.258,Beltrami,Y,0,2.9446,3.96,88.1549,1966.8636805396627,2065.542106911611,1980.6664660409083,1833.304366216469,1815.6193608207573
4014200,Lake or Pond,356225.2552,5254664.925,Beltrami,Y,0,2.532378049,6.25,40.1803,2000.3112891452784,2100.430100890697,2015.1313461519342,1861.7067892822326,1847.208943447389
4015900,Lake or Pond,359651.8685,5275509.018,Beltrami,Y,0,3.315811554,6.71,43.7931,1851.5333591368062,1945.4165192676842,1869.6735454535974,1714.8699419788795,1707.0500272291838
5001300,Lake or Pond,409065.841,5064907.184,Benton,Y,0,0.786390981,3.8,38.7275,2335.421446717844,2451.5693879332252,2338.6577148726983,2164.3188663959018,2153.881491229111
7004400,Lake or Pond,435926.3612,4893233.802,Blue Earth,Y,1,1.493440485,6.8,73.1354,2521.7780225571973,2643.3925732570137,2508.8024186474895,2321.1275288938787,2333.4840725537415
7005400,Lake or Pond,433248.5622,4895737.786,Blue Earth,Y,1,1.2991152,3.81,65.8484,2455.9226429309656,2573.492806798504,2442.232029251128,2260.537094697206,2267.921367572273
7007900,Lake or Pond,417777.2175,4857511.654,Blue Earth,Y,1,1.350859353,3.1,20.2353,2532.7124117132817,2657.832844972098,2521.630211608988,2340.884658393714,2364.6079242398596
9000800,Lake or Pond,541359.8476,5163533.842,Carlton,Y,1,3.826360935,6.4,47.826,1806.4016535088974,1881.9034113438258,1805.22348433083,1670.3148160061385,1666.5291505917621
9003400,Lake or Pond,524769.8395,5149446.059,Carlton,Y,1,2.778178621,7,76.0069,1835.128409086666,1917.2412567761085,1835.6446505990873,1697.5955481770889,1685.015493641268
9003500,Lake or Pond,524728.5726,5147797.757,Carlton,Y,1,3.612104455,13,66.8005,1847.3310432481157,1930.0453482337994,1849.6075923407989,1706.1309766212025,1696.5905027026631
