DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain
4003100,Lake or Pond,383397.8927,5264660.4,Beltrami,Y,0,2.16488,2.44,19.0518,1519.3126054546815,1528.8232645475682,1538.9038320328232,1531.6757433537866,1423.1991635998083,1905.557580847802,2004.585046139179,1922.110234301562,1778.5824637183553,1773.026925752578,Analog,Analog,Analog,Analog,Analog
4003200,Lake or Pond,385138.8669,5268671.869,Beltrami,Y,0,2.95439931,5.94,10.0108,1592.5437185868734,1608.5081330736084,1615.936937782123,1611.198736610665,1501.52420683557,1993.637396800839,2099.3098195493926,2012.5117572456445,1861.2376558499952,1847.3213803192189,Analog,Analog,Analog,Analog,Analog
4003800,Lake or Pond,375450.7932,5257031.407,Beltrami,Y,0,3.332047664,5.5,32.8712,1559.52747486612,1578.5329814115585,1580.3892957642734,1576.0864993487137,1466.4794125389567,1959.9311966912585,2064.5131408614325,1979.8681805725405,1827.2855151474068,1814.8174851431015,Analog,Analog,Analog,Analog,Analog
4004200,Lake or Pond,382452.2371,5257389.436,Beltrami,Y,0,3.59,4.9,25.4363,1554.4725274175717,1569.3594506988384,1577.6854148840084,1573.2353169993216,1462.2799874807183,1954.7454075768285,2058.2955532448264,1975.1661516443528,1822.3073599566424,1810.2925436023984,Analog,Analog,Analog,Analog,Analog
4006900,Lake or Pond,378765.6053,5287832.935,Beltrami,Y,0,2.660000296,7.32,54.815,1544.266812090625,1561.3598634195382,1570.4173117132334,1560.92817070696,1448.03338548062,1940.510504448984,2045.0545969206437,1963.6514962114095,1801.690870340122,1797.23889979876,Analog,Analog,Analog,Analog,Analog
4007900,Lake or Pond,372571.4264,5253089.475,Beltrami,Y,0,3.015633793,6.4,34.9738,1587.1731680014366,1606.538144028195,1615.1934315370183,1605.75088204082,1495.431724989395,1990.3127806316804,2093.345055333642,2007.8825077887711,1856.134994617097,1843.4034184318764,Analog,Analog,Analog,Analog,Analog
4013500,Lake or Pond,363943.0974,5273006.728,Beltrami,Y,0,3.757906006,6.25,53.0268,1525.7516179089484,1540.9344982537834,1545.842923846545,1541.662068278425,1426.683102471895,1921.949846515036,2027.351189576191,1948.015122032556,1784.748105937538,1774.7239354507562,Analog,Analog,Analog,Analog,Analog
4014100,Lake or Pond,357379.936,5255916.258,Beltrami,Y,0,2.9446,3.96,88.1549,1558.1925234271816,1568.7280975993133,1590.312710614045,1584.5767838996817,1463.3917951712965,1966.8636805396627,2065.542106911611,1980.6664660409083,1833.304366216469,1815.6193608207573,Analog,Analog,Analog,Analog,Analog
4014200,Lake or Pond,356225.2552,5254664.925,Beltrami,Y,0,2.532378049,6.25,40.1803,1591.7481743277983,1603.5025616161183,1624.0953232574434,1613.835036773815,1493.0910036352816,2000.3112891452784,2100.430100890697,2015.1313461519344,1861.7067892822329,1847.208943447389,Analog,Analog,Analog,Analog,Analog
4015900,Lake or Pond,359651.8685,5275509.018,Beltrami,Y,0,3.315811554,6.71,43.7931,1457.6529527568466,1468.048219897715,1483.3585009408785,1477.2800707133883,1353.43467252034,1851.5333591368064,1945.416519267684,1869.6735454535976,1714.8699419788795,1707.0500272291838,Analog,Analog,Analog,Analog,Analog
