DOWLKNUM,UTMX,UTMY,LON,LAT
7005300,434827.4838,4896424.197,-93.81588158,44.21813051
7005400,433248.5622,4895737.786,-93.83555834,44.21180842
7007900,417777.2175,4857511.654,-94.02325236,43.86611618
7009800,403711.9553,4884727.433,-94.20319688,44.10939919
8002600,371066.814,4888695.619,-94.61195575,44.14008857
8004500,361851.7715,4907456.409,-94.73205886,44.30723449
9004100,518606.6317,5143831.586,-92.7577428,46.44779979
10000200,458766.2128,4964838.5,-93.52168161,44.83576415
10000600,458129.278,4969419.185,-93.53011783,44.87696132
10000700,455808.8316,4969527.077,-93.55950465,44.87779239
10001100,450798.73,4969235.101,-93.62290566,44.87483577
10001200,455777.7334,4968803.557,-93.55983521,44.87127755
10001300,457234.7434,4966615.391,-93.54120634,44.85166917
10001800,448964.4579,4969387.824,-93.64614213,44.87608149
10001900,449417.4961,4965063.183,-93.63997539,44.83718515
10004200,442272.4131,4970141.587,-93.73094705,44.88235564
10004300,443758.2643,4968752.578,-93.71198046,44.86997144
10004401,445173.1132,4968516.596,-93.69404528,44.86795751
10004402,446245.3759,4968215.903,-93.68044075,44.8653325
10004500,447920.1069,4968362.151,-93.659258,44.86677329
10004600,447318.7177,4967151.333,-93.66674441,44.85582987
10004700,446838.2232,4967089.288,-93.67281872,44.85523571
10004800,446667.9857,4965550.873,-93.67481139,44.84137489
10005000,445592.5075,4966694.252,-93.68854108,44.85158582
10005100,443342.2151,4966526.643,-93.71699821,44.84990186
10005200,441004.181,4965322.65,-93.74644335,44.83887465
10005300,444817.34620000003,4964659.238,-93.69812895,44.83320807
10005600,446398.2862,4970816.85,-93.67878051,44.88875641
10005800,439049.5985,4952405.534,-93.76962514,44.72243745
10008400,436404.8982,4966513.274,-93.80477936,44.84919664
10008800,430824.8051,4962821.211,-93.8748831,44.81544445
10008900,433543.5849,4970792.067,-93.84154575,44.88744987
10009500,435332.1947,4975508.943,-93.81950183,44.93007182
10012100,426089.4332,4962103.69,-93.93466099,44.80851156
10021700,452122.0698,4964493.94,-93.60570511,44.83224762
10021800,452183.4779,4963730.543,-93.6048564,44.82537987
11005300,429152.8494,5185736.08,-93.92879781,46.82140057
11005900,424640.5596,5191221.724,-93.98885008,46.8702633
11006200,425872.1458,5200393.152,-93.97418615,46.95292262
11007300,429010.4092,5204897.821,-93.9336541,46.99379733
11010400,422938.2594,5203867.377,-94.01332739,46.9838471
11014700,409709.2635,5254913.136,-94.19754193,47.44140779
11016700,409424.6313,5199545.538,-94.19012645,46.9432538
11017400,406494.4613,5204100.535,-94.22955757,46.98382732
11019000,408541.7348,5213440.252,-94.2045319,47.06814016
11020000,403512.1215,5196249.297,-94.26709613,46.91276479
11021800,396864.3148,5153469.615,-94.3447741,46.52688914
11023400,397861.0263,5191770.613,-94.34028277,46.87162716
11023700,393886.1324,5191728.222,-94.3924166,46.8706233
11025000,397137.7355,5187141.989,-94.34872822,46.82987423
11027900,398004.8505,5195071.385,-94.33913495,46.90134458
11030700,393236.2656,5177062.135,-94.3975198,46.7385775
11038300,387835.5015,5196781.504,-94.47303078,46.91508928
11041100,383053.083,5186711.059,-94.53323215,46.82367299
11041200,382393.5287,5199484.23,-94.54517214,46.93846024
11048800,382854.0317,5238706.799,-94.54933313,47.29136088
13002700,513928.7285,5025024.402,-92.82209831,45.37859594
13002800,511252.3632,5025541.195,-92.8562697,45.38329588
13003201,513332.6664,5028194.395,-92.82962563,45.4071415
13003300,516167.516,5028935.007,-92.7933758,45.41374813
13005300,504118.6705,5018585.514,-92.94744871,45.32076356
13006800,497323.9996,5047449.589,-93.03430098,45.58058221
13007300,495823.6018,5048703.764,-93.05354381,45.59186364
14000400,257177.065,5211347.049,-96.19473726,47.0110548
15001000,331962.3582,5228594.724,-95.2181686,47.18936522
15005900,326860.2825,5251562.828,-95.29438262,47.39455059
15007900,325070.6003,5249583.522,-95.31729851,47.37627811
15014900,310451.7864,5285336.16,-95.52616802,47.69358968
16008900,706365.3277,5309369.013,-90.23853134,47.90442453
16036900,668409.1193,5290838.565,-90.75319474,47.74891515
