DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha
11021800,Lake or Pond,396864.3148,5153469.615,Cass,Y,0,2.835809855,5.64,42.549
11022000,Lake or Pond,397864.731,5152967.374,Cass,Y,0,2.8967875,4.11,40.768
11022100,Lake or Pond,397492.8762,5152298.523,Cass,Y,0,2.534444444,3,24.583
11022200,Lake or Pond,395341.3178,5149852.636,Cass,Y,0,1.585073289,2.82,53.7987
11024200,Lake or Pond,399816.3886,5189744.842,Cass,Y,0,4.217837073,5.7925,42.4185
11041300,Lake or Pond,379995.5875,5203131.88,Cass,Y,0,5.683223621,8.2,60.5099
11041500,Lake or Pond,381379.0709,5245728.339,Cass,Y,0,4.547634286,7.16,36.0916
11050400,Lake or Pond,374536.1569,5235936.146,Cass,Y,0,3.913847574,5.85,45.0482
13001200,Lake or Pond,510061.2344,5022998.956,Chisago,Y,1,1.29032,1.88976,69.7822
13002700,Lake or Pond,513928.7285,5025024.402,Chisago,Y,1,1.617435219,11.5,65.8926
13002800,Lake or Pond,511252.3632,5025541.195,Chisago,Y,1,2.58152,14,94.29
13003500,Lake or Pond,511681.6662,5027050.972,Chisago,Y,1,2.727339592,16,85.0612
13004100,Lake or Pond,507794.9071,5021119.054,Chisago,Y,1,1.34112,1.9812,59.167
13004700,Lake or Pond,507364.8165,5023592.414,Chisago,Y,1,0.809090909,1,39.7001
13005300,Lake or Pond,504118.6705,5018585.514,Chisago,Y,1,1.676807066,3.403333333,47.079
13005400,Lake or Pond,504970.0236,5017716.528,Chisago,Y,0,1.674672131,3.1,51.8488
13006800,Lake or Pond,497323.9996,5047449.589,Chisago,Y,1,3.227443721,11.5,54.7363
13008300,Lake or Pond,493884.1058,5053385.429,Chisago,Y,1,1.71704,2.10312,29.7304
14000400,Lake or Pond,257177.065,5211347.049,Clay,Y,0,3.137236364,3.9,5.3236
