DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,EWMSTATUS,avg_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMminK.CurrPred,GFDL.GAMminK.CurrPred,IPSL.GAMminK.CurrPred,MIROC5.GAMminK.CurrPred,MRI.GAMminK.CurrPred,ACCESS.GAMminK.FutrPred,GFDL.GAMminK.FutrPred,IPSL.GAMminK.FutrPred,MIROC5.GAMminK.FutrPred,MRI.GAMminK.FutrPred,ACCESS.GAMbestK.CurrPred,GFDL.GAMbestK.CurrPred,IPSL.GAMbestK.CurrPred,MIROC5.GAMbestK.CurrPred,MRI.GAMbestK.CurrPred,ACCESS.GAMbestK.FutrPred,GFDL.GAMbestK.FutrPred,IPSL.GAMbestK.FutrPred,MIROC5.GAMbestK.FutrPred,MRI.GAMbestK.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred,mean.curr.preds,var.curr.preds,mean.fut.preds,var.fut.preds
3057600,Lake or Pond,266513.5936,5183835.341,Becker,0,5.343870615,40.0909,1551.020077,1554.174479,1566.486353,1572.469748,1450.519728,1952.729326,2053.476526,1964.002475,1811.103177,1793.074289,Analog,Analog,Analog,Analog,Analog,0.236211776,0.239127958,0.231781684,0.233642166,0.225672525,0.95600781,0.710604862,0.96652399,0.987551287,0.918859157,0.240785395,0.234391791,0.231064119,0.244562776,0.227992072,0.981192304,0.823071395,0.984956883,0.989500821,0.969166537,0.097936667,0.101636667,0.12478,0.149143333,0.144311667,0.89895,0.607823333,0.873363333,0.877163333,0.882313333,0.22526423,0.002583311,0.967442626,3.56E-04
3058200,Lake or Pond,263241.1885,5180061.453,Becker,0,3.096254902,44.5934,1549.732052,1543.852807,1558.374907,1559.340932,1440.925871,1936.77587,2041.676889,1945.872017,1807.258684,1787.339487,Analog,Analog,Analog,Analog,Analog,0.14664646,0.145161268,0.140666329,0.133320175,0.135207672,0.905114274,0.57477835,0.924002942,0.972172015,0.85390122,0.124942766,0.126244073,0.121735407,0.125103959,0.122059334,0.951870777,0.660437786,0.960977814,0.974855831,0.929130838,0.017083333,0.018146667,0.0216,0.02272,0.01715,0.908196667,0.756023333,0.91689,0.89296,0.900986667,0.126737998,9.55E-04,0.924530826,6.64E-04
3058800,Lake or Pond,260951.9244,5185361.482,Becker,0,2.370292408,27.6805,1620.385896,1620.08055,1637.506516,1636.661641,1516.020653,2014.910338,2124.075455,2026.752685,1882.529385,1859.876537,Analog,Analog,Analog,Analog,Analog,0.113698223,0.118019924,0.119366978,0.103666939,0.109720105,0.940293675,0.643825905,0.959273595,0.984546909,0.90351305,0.062233497,0.061127086,0.063345189,0.057509624,0.059373562,0.938187726,0.782426951,0.947258103,0.943391945,0.932990687,0.024766667,0.019996667,0.020036667,0.025466667,0.02423,0.936936667,0.921596667,0.889016667,0.92613,0.95087,0.070354528,4.17E-04,0.921306432,8.27E-04
3059500,Lake or Pond,262694.9827,5184504.816,Becker,0,2.334433657,29.3227,1535.544087,1528.895387,1542.4741,1543.994003,1424.815936,1919.70963,2023.855002,1929.19078,1789.935852,1772.405635,Analog,Analog,Analog,Analog,Analog,0.073543102,0.07436404,0.07090419,0.066183015,0.067288114,0.785437431,0.35873026,0.824398047,0.928767596,0.699024569,0.061701261,0.06372928,0.061395272,0.062266531,0.061497934,0.875620832,0.376277679,0.899294839,0.939744209,0.818677463,0.04951,0.052133333,0.04744,0.05092,0.056343333,0.9709,0.266776667,0.9611,0.952466667,0.927613333,0.067808196,4.61E-04,0.827480393,0.001699737
3060200,Lake or Pond,262768.0881,5182869.397,Becker,0,3.482405122,29.3227,1535.544087,1528.895387,1542.4741,1543.994003,1424.815936,1919.70963,2023.855002,1929.19078,1789.935852,1772.405635,Analog,Analog,Analog,Analog,Analog,0.122901112,0.122157307,0.117982892,0.115165036,0.114076481,0.865982648,0.492118478,0.891643936,0.959910761,0.805653089,0.121757425,0.126036693,0.122299025,0.127025396,0.123050862,0.936877212,0.561048235,0.950056952,0.971571738,0.90626355,0.080116667,0.08537,0.07116,0.079576667,0.077233333,0.929686667,0.243316667,0.928493333,0.92012,0.908253333,0.117023554,9.32E-04,0.895547904,0.001524536
4000700,Lake or Pond,386010.2932,5261705.448,Beltrami,0,2.02823,30.0221,1579.897001,1596.559382,1608.825572,1596.338492,1488.425444,1977.687716,2079.949787,1994.972501,1848.159054,1835.287289,Analog,Analog,Analog,Analog,Analog,0.078508609,0.082105687,0.086711827,0.077793068,0.079961821,0.882649102,0.495000575,0.921779641,0.963661362,0.841482319,0.045898195,0.045057135,0.045086273,0.043612181,0.043815682,0.910464466,0.607232523,0.928088959,0.934770466,0.897885169,0.021656667,0.021860952,0.025736667,0.02165,0.02551,0.83859,0.486596667,0.84465,0.80305,0.819566667,0.055219135,3.65E-04,0.886405748,9.72E-04
4001100,Lake or Pond,389881.5343,5266872.332,Beltrami,0,3.813155556,18.0134,1551.218484,1572.481634,1574.056164,1565.429907,1466.153618,1958.003212,2055.442199,1970.797856,1819.552328,1810.829449,Analog,Analog,Analog,Analog,Analog,0.120661635,0.122826838,0.126169646,0.130531781,0.128314638,0.912618721,0.556990819,0.936802192,0.973438122,0.873997219,0.110450435,0.111384129,0.106333433,0.109127868,0.105098616,0.955516758,0.688508972,0.965466289,0.973931142,0.943508342,0.051273333,0.046406667,0.04691,0.04952,0.040306667,0.915163333,0.596396667,0.89372,0.886846667,0.879516667,0.101848142,8.39E-04,0.926094024,0.001344078
4001500,Lake or Pond,384244.5832,5262691.001,Beltrami,0,2.488284444,15.8043,1579.897001,1596.559382,1608.825572,1596.338492,1488.425444,1977.687716,2079.949787,1994.972501,1848.159054,1835.287289,Analog,Analog,Analog,Analog,Analog,0.076917634,0.080723937,0.085874299,0.079153668,0.080100067,0.880330222,0.490382505,0.921010311,0.96431452,0.841732622,0.048607111,0.048240363,0.048622913,0.047910819,0.047553383,0.915251172,0.624172785,0.933200553,0.940525903,0.905485843,0.06111,0.058303333,0.069403333,0.061333333,0.060803333,0.885906667,0.652046667,0.872106667,0.871653333,0.85267,0.053537485,2.97E-04,0.887030656,0.0016834
4003000,Lake or Pond,383263.2813,5253299.763,Beltrami,0,3.376936073,36.0916,1554.472527,1569.359451,1577.685415,1573.235317,1462.279987,1954.745408,2058.295553,1975.166152,1822.30736,1810.292544,Analog,Analog,Analog,Analog,Analog,0.144244268,0.14864506,0.149260114,0.146191338,0.145359331,0.923081635,0.609305214,0.949925985,0.978007105,0.890422965,0.123194534,0.121557415,0.117068199,0.119211915,0.116703325,0.959652878,0.725277704,0.970094962,0.976370371,0.948836987,0.020106667,0.015983333,0.020296667,0.028366667,0.024636667,0.90786,0.70197,0.905816667,0.886833333,0.90879,0.119195265,8.13E-04,0.937173677,6.58E-04
4003100,Lake or Pond,383397.8927,5264660.4,Beltrami,0,2.16488,19.0518,1519.312605,1528.823265,1538.903832,1531.675743,1423.199164,1905.557581,2004.585046,1922.110234,1778.582464,1773.026926,Analog,Analog,Analog,Analog,Analog,0.051664633,0.053877591,0.053065683,0.050184445,0.0506777,0.68723055,0.268565316,0.758088325,0.878239855,0.636116529,0.048312866,0.049745315,0.045902132,0.045833776,0.045544419,0.806440634,0.257314152,0.854813276,0.908859055,0.767264039,0.06967,0.05708,0.061076667,0.06126,0.060703333,0.88419,0.332936667,0.911406667,0.953366667,0.861156667,0.05168507,3.31E-04,0.750491075,0.002948992
